Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
1,2009,NYY,AL,103,59,.636,1450.0,162,162,753,4.67,4.90,-0.15,-0.01,102.7,5.17,70,8.3,1.18,-0.3,23.2,241,.513,.513,$73860239
2,2008,LAA,AL,100,62,.617,1451.1,162,162,697,4.32,4.82,0.06,0.02,101.9,4.87,63,7.3,1.33,-0.3,22.0,246,.513,.513,$43121333
3,2005,STL,NL,100,62,.617,1445.2,162,162,634,3.95,4.59,0.38,0.02,100.8,4.27,50,5.7,1.20,-0.7,17.5,175,.510,.510,$30370000
4,2005,CHW,AL,99,63,.611,1475.2,162,162,645,3.93,4.74,0.26,0.03,102.9,4.64,104,11.0,1.44,-0.2,26.1,277,.519,.519,$37780000
5,2008,CHC,NL,97,64,.602,1451.0,161,161,671,4.16,4.62,-0.16,0.00,105.3,5.04,152,16.7,1.16,-0.8,28.5,268,.526,.526,$58628333
6,2009,LAA,AL,97,65,.599,1445.0,162,162,761,4.74,4.81,0.44,0.01,97.7,4.28,-84,-7.3,1.17,-1.3,6.5,86,.488,.488,$50709000
7,2008,TBR,AL,97,65,.599,1457.2,162,162,671,4.14,4.84,0.14,0.00,101.1,4.76,74,8.0,1.28,-0.8,22.4,258,.513,.513,$19999597
8,2006,NYM,NL,97,65,.599,1461.1,162,162,731,4.50,4.96,0.21,-0.01,96.7,4.58,16,2.5,1.15,-0.7,14.4,146,.504,.504,$46979140
9,2006,NYY,AL,97,65,.599,1443.2,162,162,767,4.78,5.00,-0.34,-0.01,99.0,5.28,66,7.6,1.18,-0.1,22.5,244,.512,.512,$70650610
10,2007,BOS,AL,96,66,.593,1438.2,162,162,657,4.11,4.99,0.06,0.01,104.7,5.17,157,16.4,1.09,-0.5,30.9,331,.527,.527,$46122000
