Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name
1,Bryan Abreu\abreubr01,22.100,Jul 31,,/1,HOU,0.3,6-1,225,R,R,Apr 22 1997,Santo Domingo Distrito Nacional DO,Signed by the Houston Astros as an amateur free agent in 2013.,,,Bryan Enrique
2,Dario Agrazal\agrazda01,24.169,Jun 15,,1,PIT,0.6,6-2,240,R,R,Dec 28 1994,Aguadulce Cocle PA,Signed by the Pittsburgh Pirates as an amateur free agent in 2012.,,,Dario Abdiel
3,R.J. Alaniz\alanirj01,27.302,Apr 12,,/1,SEA,-0.4,6-4,219,R,R,Jun 14 1991,McAllen TX US,Signed by the Houston Astros as an amateur free agent in 2009.,,Juarez-Lincoln HS (La Joya TX),Ruben
4,Jorge Alcala\alcaljo01,24.055,Sep 21,,/1,MIN,0.1,6-3,205,R,R,Jul 28 1995,Bajos de Haina San Cristobal DO,Signed by the Houston Astros as an amateur free agent in 2014.,,,Jorge Luis
5,Tyler Alexander\alexaty01,24.354,Jul 3,,1,DET,1.0,6-2,200,R,L,Jul 14 1994,Chicago IL US,Drafted by the Detroit Tigers in the 2nd round of the 2015 amateur draft. Player signed June 25 2015.,Texas Christian University (Fort Worth TX),Carroll HS (Southlake TX),Tyler John
6,Austin Allen\allenau01,25.115,May 11,,2H/3,SDP,-0.4,6-2,220,L,R,Jan 16 1994,St. Louis MO US,Drafted by the San Diego Padres in the 4th round of the 2015 amateur draft. Player signed June 13 2015.,Florida Institute of Technology (Melbourne FL),Chaminade College Prep (Creve Coeur MO),Austin Michael
7,Logan Allen\allenlo01,22.026,Jun 18,,/1,SDP,-0.3,6-3,220,R,L,May 23 1997,West Palm Beach FL US,Drafted by the Boston Red Sox in the 8th round of the 2015 amateur draft. Player signed June 21 2015.,,IMG Academy (Bradenton FL),Logan Shane
8,Pete Alonso\alonspe01,24.111,Mar 28,,*3/HD,NYM,5.2,6-3,245,R,R,Dec 7 1994,Tampa FL US,Drafted by the New York Mets in the 2nd round of the 2016 amateur draft. Player signed June 28 2016.,University of Florida (Gainesville FL),H. B. Plant HS (Tampa FL),Peter Morgan
9,Yordan Álvarez\alvaryo01,21.347,Jun 9,,D7/H,HOU,3.7,6-5,225,L,R,Jun 27 1997,Las Tunas CU,Signed by the Los Angeles Dodgers as an amateur free agent in 2016.,,,Yordan Ruben
10,Adbert Alzolay\alzolad01,24.111,Jun 20,,/1,CHC,-0.2,6-0,208,R,R,Mar 1 1995,San Felix Bolivar VE,Signed by the Chicago Cubs as an amateur free agent in 2012.,,,Adbert Marcelo
11,Nick Anderson\anderni01,28.266,Mar 28,,1,MIA,1.4,6-5,195,R,R,Jul 5 1990,Crosby MN US,Signed as a Free Agent with the Minnesota Twins in 2015.,Mayville State University (Mayville ND),Brainerd HS (Brainerd MN),Nick Paul
12,Shaun Anderson\andersh01,24.198,May 15,,1,SFG,-0.5,6-4,225,R,R,Oct 29 1994,Coral Springs FL US,Drafted by the Boston Red Sox in the 3rd round of the 2016 amateur draft. Player signed July 2 2016.,University of Florida (Gainesville FL),American Heritage HS (Plantation FL),Shaun
13,Rogelio Armenteros\armenro01,24.349,Jun 14,,/1,HOU,0.1,6-1,243,R,R,Jun 30 1994,La Habana La Habana CU,Signed by the Houston Astros as an amateur free agent in 2014.,,,Rogelio
14,Randy Arozarena\arozara01,24.167,Aug 14,,H/987,STL,0.3,5-11,170,R,R,Feb 28 1995,La Habana La Habana CU,Signed as a Free Agent with the St. Louis Cardinals in 2016.,,,Randy
15,Luis Arraez\arraelu01,22.039,May 18,,475/6HD,MIN,1.8,5-10,177,L,R,Apr 9 1997,San Felipe Yaracuy VE,Signed by the Minnesota Twins as an amateur free agent in 2013.,,,Luis Sangel
16,Humberto Arteaga\arteahu01,25.148,Jun 20,,6/4H51,KCR,-0.8,6-1,160,R,R,Jan 23 1994,Caracas Distrito Federal VE,Signed by the Kansas City Royals as an amateur free agent in 2010.,,,Humberto Jose
17,Pedro Avila\avilape01,22.087,Apr 11,,/1,SDP,0.3,5-11,210,R,R,Jan 14 1997,Caracas Distrito Federal VE,Signed by the Washington Nationals as an amateur free agent in 2014.,,,Pedro Manuel
18,Michel Báez\baezmi01,23.183,Jul 23,,1,SDP,0.6,6-8,220,R,R,Jan 21 1996,La Habana La Habana CU,Signed by the San Diego Padres as an amateur free agent in 2016.,,,Michel
19,Tres Barrera\barretr01,24.364,Sep 14,,/2H,WSN,-0.1,6-0,215,R,R,Sep 15 1994,Eagle Pass TX US,Drafted by the Washington Nationals in the 6th round of the 2016 amateur draft. Player signed June 16 2016.,University of Texas at Austin (Austin TX),,Felipe Jesus
20,Matt Beaty\beatyma01,26.002,Apr 30,,37H/5D9,LAD,0.4,6-0,215,L,R,Apr 28 1993,Snellville GA US,Drafted by the Los Angeles Dodgers in the 12th round of the 2015 amateur draft. Player signed June 13 2015.,Belmont University (Nashville TN),Dresden HS (Dresden TN),Matthew Thomas
21,David Bednar\bednada01,24.326,Sep 1,,1,SDP,-0.2,6-1,249,L,R,Oct 10 1994,Pittsburgh PA US,Drafted by the San Diego Padres in the 35th round of the 2016 amateur draft. Player signed June 13 2016.,Lafayette College (Easton PA),,David Jeffrey
22,Anthony Bemboom\bemboan01,29.114,May 12,,/2,TBR,-0.5,6-2,200,L,R,Jan 18 1990,St. Cloud MN US,Drafted by the Los Angeles Angels of Anaheim in the 22nd round of the 2012 amateur draft. Player signed June 12 2012.,Creighton University (Omaha NE),Sauk Rapids-Rice HS (Sauk Rapids MN),Anthony John
23,Travis Bergen\bergetr01,25.172,Mar 29,,1,SFG,-0.1,6-1,205,L,L,Oct 8 1993,McDonough GA US,Drafted by the Toronto Blue Jays in the 7th round of the 2015 amateur draft. Player signed June 14 2015.,Kennesaw State University (Kennesaw GA),,Travis Michael
24,Bo Bichette\bichebo01,21.146,Jul 29,,6/D,TOR,2.3,6-0,185,R,R,Mar 5 1998,Orlando FL US,Drafted by the Toronto Blue Jays in the 2nd round of the 2016 amateur draft. Player signed June 15 2016.,,Lakewood HS (St. Petersburg FL),Bo Joseph
25,Cavan Biggio\biggica01,24.043,May 24,,4/39DH7,TOR,2.9,6-2,200,L,R,Apr 11 1995,Houston TX US,Drafted by the Toronto Blue Jays in the 5th round of the 2016 amateur draft. Player signed June 14 2016.,University of Notre Dame (South Bend IN),St. Thomas HS (Houston TX),Cavan Thomas
26,Kyle Bird\birdky01,25.350,Mar 28,,1,TEX,-0.1,6-2,175,L,L,Apr 12 1993,Orange Park FL US,Drafted by the Tampa Bay Rays in the 35th round of the 2014 amateur draft. Player signed June 11 2014.,Flagler College (St. Augustine FL) Florida State University (Tallahassee FL),Clay HS (Green Cove Springs FL),Ronald Kyle
27,Braden Bishop\bishobr01,25.211,Mar 21,,8/7HD9,SEA,-0.4,6-1,190,R,R,Aug 22 1993,Woodland CA US,Drafted by the Seattle Mariners in the 3rd round of the 2015 amateur draft. Player signed June 16 2015.,University of Washington (Seattle WA),St. Francis HS (Mountain View CA),Braden Adam
28,Ronald Bolanos\bolanro01,23.011,Sep 3,,/1,SDP,-0.1,6-2,230,R,R,Aug 23 1996,Santa Cruz del Norte Mayabeque CU,Signed by the San Diego Padres as an amateur free agent in 2016.,,,Ronald
29,Skye Bolt\boltsk01,25.108,May 3,,/8H9,OAK,-0.1,6-2,187,B,R,Jan 15 1994,Atlanta GA US,Drafted by the Oakland Athletics in the 4th round of the 2015 amateur draft. Player signed June 17 2015.,University of North Carolina at Chapel Hill (Chapel Hill NC),Holy Innocents HS (Atlanta GA),Skye Michael
30,James Bourque\bourqja01,25.321,May 26,,/1,WSN,-0.1,6-4,215,R,R,Jul 9 1993,Ann Arbor MI US,Drafted by the Washington Nationals in the 14th round of the 2014 amateur draft. Player signed June 11 2014.,University of Michigan (Ann Arbor MI),Huron HS (Ann Arbor MI),James Buchanan
31,Bobby Bradley\bradlbo01,23.025,Jun 23,,/D3H,CLE,-0.3,6-1,225,L,R,May 29 1996,Chicago IL US,Drafted by the Cleveland Indians in the 3rd round of the 2014 amateur draft. Player signed June 17 2014.,,Harrison Central HS (Gulfport MS),Bobby
32,Brandon Brennan\brennbr01,27.238,Mar 21,,1,SEA,0.5,6-4,220,R,R,Jul 26 1991,Mission Viejo CA US,Drafted by the Chicago White Sox in the 4th round of the 2012 amateur draft. Player signed June 11 2012.,Orange Coast College (Costa Mesa CA),Capistrano Valley HS (Mission Viejo CA),Brandon Sean Michael
33,Mike Brosseau\brossmi01,25.100,Jun 23,,45H/9713D,TBR,0.6,5-10,215,R,R,Mar 15 1994,Munster IN US,Signed by the Tampa Bay Rays as an amateur free agent in 2016.,Oakland University (Rochester MI),,Michael Dillon
34,Seth Brown\brownse01,27.044,Aug 26,,7/H3,OAK,0.8,6-3,220,L,L,Jul 13 1992,Klamath Falls OR US,Drafted by the Oakland Athletics in the 19th round of the 2015 amateur draft. Player signed June 15 2015.,Lewis-Clark State College (Lewiston ID),,Seth William
35,Brock Burke\burkebr01,23.016,Aug 20,,/1,TEX,-0.1,6-4,180,L,L,Aug 4 1996,Chicago IL US,Drafted by the Tampa Bay Rays in the 3rd round of the 2014 amateur draft. Player signed June 18 2014.,,Evergreen HS (Evergreen CO),Brock
36,Genesis Cabrera\cabrege01,22.231,May 29,,1,STL,-0.5,6-2,190,L,L,Oct 10 1996,Santo Domingo Distrito Nacional DO,Signed by the Tampa Bay Rays as an amateur free agent in 2013.,,,Genesis
37,Griffin Canning\cannigr01,22.354,Apr 30,,1,LAA,1.0,6-2,180,R,R,May 11 1996,Mission Viejo CA US,Drafted by the Los Angeles Angels in the 2nd round of the 2017 amateur draft. Player signed June 16 2017.,University of California Los Angeles (Los Angeles CA),Santa Margarita Catholic HS (Rancho Santa Margarita CA),Griffin Alexander
38,Willi Castro\castrwi01,22.122,Aug 24,,6/H,DET,-0.5,6-1,205,B,R,Apr 24 1997,Rio Piedras PR,Signed by the Cleveland Indians as an amateur free agent in 2013.,,,Willi Rafael
39,Dylan Cease\ceasedy01,23.187,Jul 3,,1,CHW,-0.1,6-2,190,R,R,Dec 28 1995,Milton GA US,Drafted by the Chicago Cubs in the 6th round of the 2014 amateur draft. Player signed July 4 2014.,,Milton HS (Milton GA),Dylan Edward
40,Yu Chang\changyu01,23.314,Jun 28,,5/6H,CLE,-0.3,6-1,180,R,R,Aug 18 1995,Taitung TW,Signed by the Cleveland Indians as an amateur free agent in 2013.,,,Yu-Cheng
41,Michael Chavis\chavimi01,23.252,Apr 20,,34/5HD,BOS,0.6,5-10,216,R,R,Aug 11 1995,Atlanta GA US,Drafted by the Boston Red Sox in the 1st round (26th pick) of the 2014 amateur draft. Player signed June 20 2014.,,Sprayberry HS (Marietta GA),Michael Scott
42,Aaron Civale\civalaa01,24.010,Jun 22,,1,CLE,1.5,6-2,215,R,R,Jun 12 1995,East Windsor CT US,Drafted by the Cleveland Indians in the 3rd round of the 2016 amateur draft. Player signed June 17 2016.,Northeastern University (Boston MA),Loomis Chaffee HS (Windsor CT),Aaron James
43,Taylor Clarke\clarkta01,25.342,Apr 20,,1,ARI,-0.2,6-4,220,R,R,May 13 1993,Ashburn VA US,Drafted by the Arizona Diamondbacks in the 3rd round of the 2015 amateur draft. Player signed June 12 2015.,College of Charleston (Charleston SC) Towson University (Towson MD),Broad Run HS (Ashburn VA),Taylor James
44,Emmanuel Clase\claseem01,21.139,Aug 4,,1,TEX,0.9,6-2,206,R,R,Mar 18 1998,Rio San Juan Maria Trinidad Sanchez DO,Signed by the San Diego Padres as an amateur free agent in 2015.,,,Emmanuel
45,Zack Collins\colliza01,24.133,Jun 19,,D2/H3,CHW,-0.2,6-3,220,L,R,Feb 6 1995,Pembroke Pines FL US,Drafted by the Chicago White Sox in the 1st round (10th pick) of the 2016 amateur draft. Player signed June 24 2016.,University of Miami (Coral Gables FL),American Heritage HS (Plantation FL),Zachary Allen
46,Sam Coonrod\coonrsa01,26.246,May 26,,1,SFG,0.4,6-2,225,R,R,Sep 22 1992,St. Louis MO US,Drafted by the San Francisco Giants in the 5th round of the 2014 amateur draft. Player signed June 17 2014.,Southern Illinois University Carbondale (Carbondale IL),Carrollton HS (Carrollton IL),Samuel Timothy
47,Ryan Court\courtry01,31.059,Jul 26,,/37H9,SEA,-0.2,6-2,210,R,R,May 28 1988,Elgin IL US,Drafted by the Arizona Diamondbacks in the 23rd round of the 2011 amateur draft. Player signed June 9 2011.,Illinois State University (Normal IL),Dundee-Crown HS (Carpentersville IL),Ryan A.
48,Kevin Cron\cronke01,26.096,May 24,,H3/D5,ARI,0.1,6-5,250,R,R,Feb 17 1993,Placentia CA US,Drafted by the Arizona Diamondbacks in the 14th round of the 2014 amateur draft. Player signed June 23 2014.,Texas Christian University (Fort Worth TX),Mountain Pointe HS (Phoenix AZ),Kevin Scott
49,Jaylin Davis\davisja03,25.065,Sep 4,,9/DH,SFG,-0.4,6-1,205,R,R,Jul 1 1994,Greensboro NC US,Drafted by the Minnesota Twins in the 24th round of the 2015 amateur draft. Player signed June 15 2015.,Appalachian State University (Boone NC),,Jaylin Malik
50,Johnny Davis\davisjo06,29.138,Sep 11,,/H87,TBR,-0.1,5-10,180,B,R,Apr 26 1990,Compton CA US,Drafted by the Milwaukee Brewers in the 22nd round of the 2013 amateur draft. Player signed June 24 2013.,West Los Angeles College (Culver City CA),Leuzinger HS (Lawndale CA),Johnathan Lewis
51,Yonathan Daza\dazayo01,25.040,Apr 9,,8H/79,COL,-0.8,6-2,210,R,R,Feb 28 1994,Maracay Aragua VE,Signed by the Colorado Rockies as an amateur free agent in 2010.,,,Yonathan
52,Miguel Del Pozo\delpomi01,26.310,Aug 20,,1,LAA,-0.5,6-1,205,L,L,Oct 14 1992,Santo Domingo Distrito Nacional DO,Signed by the Miami Marlins as an amateur free agent in 2010.,,,Miguel Eduardo
53,Travis Demeritte\demertr01,24.306,Aug 2,,9/H,DET,-1.2,6-0,180,R,R,Sep 30 1994,New York NY US,Drafted by the Texas Rangers in the 1st round (30th pick) of the 2013 amateur draft. Player signed June 10 2013.,,Winder-Barrow HS (Winder GA),Travis Timothy
54,Isan Diaz\diazis01,23.070,Aug 5,,4/H,MIA,-0.8,5-10,201,L,R,May 27 1996,Bayamon PR,Drafted by the Arizona Diamondbacks in the 2nd round of the 2014 amateur draft. Player signed June 8 2014.,,Springfield HS (Springfield MA),Isan Xavier
55,Yennsy Diaz\diazye01,22.262,Aug 4,,/1,TOR,-0.1,6-1,202,R,R,Nov 15 1996,Azua Azua DO,Signed by the Toronto Blue Jays as an amateur free agent in 2014.,,,Yennsy Manuel
56,Phillip Diehl\diehlph01,24.330,Jun 11,,1,COL,-0.1,6-2,180,L,L,Jul 16 1994,Cincinnati OH US,Drafted by the New York Yankees in the 27th round of the 2016 amateur draft. Player signed June 15 2016.,Louisiana Tech University (Ruston LA) University of Evansville (Evansville IN),Archbishop Moeller HS (Cincinnati OH),Phillip Stewart
57,Nick Dini\dinini01,26.011,Aug 7,,2/H,KCR,0.1,5-8,180,R,R,Jul 27 1993,Monroe NJ US,Drafted by the Kansas City Royals in the 14th round of the 2015 amateur draft. Player signed June 13 2015.,Wagner College (Staten Island NY),,Nicholas Carl
58,Randy Dobnak\dobnara01,24.204,Aug 9,,/1,MIN,0.7,6-1,230,R,R,Jan 17 1995,South Park PA US,Signed as a Free Agent with the Minnesota Twins in 2017.,Alderson Broaddus University (Phillippi WV),,Randy Travis William
59,Kyle Dowdy\dowdyky01,26.053,Mar 28,,1,TEX,-0.4,6-1,195,R,R,Feb 3 1993,Escondido CA US,Drafted by the Detroit Tigers in the 12th round of the 2015 amateur draft. Player signed June 16 2015.,University of Hawaii at Manoa (Honolulu HI) University of Houston (Houston TX),,Kyle Alexander
60,Mauricio Dubon\dubonma01,24.353,Jul 7,,/H6,MIL,0.5,6-0,173,R,R,Jul 19 1994,San Pedro Sula Cortes HN,Drafted by the Boston Red Sox in the 26th round of the 2013 amateur draft. Player signed July 10 2013.,,Capital Christian HS (Sacramento CA),Mauricio Andre
61,Robert Dugger\duggero01,24.033,Aug 5,,/1,MIA,-0.7,6-2,198,R,R,Jul 3 1995,Tucson AZ US,Drafted by the Seattle Mariners in the 18th round of the 2016 amateur draft. Player signed June 30 2016.,Texas Tech University (Lubbock TX),Tomball HS (Tomball TX),Robert Lee
62,Justin Dunn\dunnju01,23.355,Sep 12,,/1,SEA,0.2,6-2,185,R,R,Sep 22 1995,Freeport NY US,Drafted by the New York Mets in the 1st round (19th pick) of the 2016 amateur draft. Player signed June 21 2016.,Boston College (Chestnut Hill MA),Gunnery HS (Cheshire CT),Justin Warren
63,Jon Duplantier\duplajo01,24.264,Apr 1,,1,ARI,0.2,6-4,240,L,R,Jul 11 1994,Newark DE US,Drafted by the Arizona Diamondbacks in the 3rd round of the 2016 amateur draft. Player signed June 14 2016.,Rice University (Houston TX),Seven Lakes HS (Katy TX),Jon Christopher
64,Montana DuRapau\durapmo01,27.043,May 9,,1,PIT,-0.8,5-10,190,R,R,Mar 27 1992,Deltona FL US,Drafted by the Pittsburgh Pirates in the 32nd round of the 2014 amateur draft. Player signed June 11 2014.,Bethune-Cookman University (Daytona Beach FL),Deltona HS (Deltona FL),Montana Robert
