Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name
1,Austin Adams\adamsau02,26.071,Jul 15,,/1,WSN,0.7,6-3,220,R,R,May 5 1991,Tampa FL US,Drafted by the Los Angeles Angels of Anaheim in the 8th round of the 2012 amateur draft. Player signed June 12 2012.,University of South Florida (Tampa FL),Zephyrhills HS (Zephyrhills FL),Austin Lance
2,Ozzie Albies\albieoz01,20.206,Aug 1,,4,ATL,11.0,5-8,165,B,R,Jan 7 1997,Willemstad CW,Signed by the Atlanta Braves as an amateur free agent in 2013.,,,Ozhaino Jurdy Jiandro
3,Sandy Alcantara\alcansa01,21.361,Sep 3,,/1,STL,3.2,6-4,200,R,R,Sep 7 1995,Azua Azua DO,Signed by the St. Louis Cardinals as an amateur free agent in 2013.,,,Sandy
4,Victor Alcantara\alcanvi01,24.155,Sep 5,,/1,DET,1.2,6-2,190,R,R,Apr 3 1993,Santo Domingo Distrito Nacional DO,Signed by the Los Angeles Angels of Anaheim as an amateur free agent in 2011.,,,Victor Alfonso
5,Anthony Alford\alforan01,22.303,May 19,,/7H9,TOR,-0.2,6-1,215,R,R,Jul 20 1994,Columbia MS US,Drafted by the Toronto Blue Jays in the 3rd round of the 2012 amateur draft. Player signed June 14 2012.,University of Mississippi (Oxford MS),Petal HS (Petal MS),Anthony Joseph
6,Greg Allen\allengr01,24.170,Sep 1,,8/H7,CLE,0.9,6-0,185,B,R,Mar 15 1993,San Diego CA US,Drafted by the Cleveland Indians in the 6th round of the 2014 amateur draft. Player signed June 12 2014.,San Diego State University (San Diego CA),Hilltop HS (Chula Vista CA),Gregory Lomack
7,Jose Alvarado\alvarjo03,21.347,May 3,,1,TBR,1.4,6-2,245,L,L,May 21 1995,Maracaibo Zulia VE,Signed by the Tampa Bay Rays as an amateur free agent in 2012.,,,Jose Antonio
8,Brian Anderson\anderbr06,24.105,Sep 1,,5/H,MIA,6.7,6-3,208,R,R,May 19 1993,Edmond OK US,Drafted by the Miami Marlins in the 3rd round of the 2014 amateur draft. Player signed June 8 2014.,University of Arkansas (Fayetteville AR),Deer Creek HS (Edmond OK),Brian Wade
9,Drew Anderson\anderdr02,23.132,Aug 1,,/1,PHI,-0.3,6-3,205,R,R,Mar 22 1994,Reno NV US,Drafted by the Philadelphia Phillies in the 21st round of the 2012 amateur draft. Player signed June 24 2012.,,Galena HS (Reno NV),Andrew James
10,Miguel Andujar\andujmi01,22.118,Jun 28,,/5DH,NYY,1.9,6-0,215,R,R,Mar 2 1995,San Cristobal San Cristobal DO,Signed by the New York Yankees as an amateur free agent in 2011.,,,Miguel Enrique
11,Victor Arano\aranovi01,22.217,Sep 12,,1,PHI,2.5,6-2,228,R,R,Feb 7 1995,Cosamaloapan Veracruz MX,Signed by the Los Angeles Dodgers as an amateur free agent in 2013.,,,Victor Teodoro
12,Christian Arroyo\arroych01,21.329,Apr 24,,56/4H,SFG,-0.1,6-1,220,R,R,May 30 1995,Tampa FL US,Drafted by the San Francisco Giants in the 1st round (25th pick) of the 2013 amateur draft. Player signed June 18 2013.,,Hernando HS (Brooksville FL),Christian Israel
